code_domaine;libelle_domaine;code_secteur;libelle_secteur;code_metier;libelle_metier
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;AS;Aide-soignant
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;ASSMED;Assistant medical
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;AUTMED;Autre medecin specialise
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;BRANCA;Brancardier
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;COMMER;Commercial
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;ETUSTAG;Etudiant stagiaire
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;FORM;Formateur
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;IDE;Infirmier
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;INGENIEUR;"Ingenieur (Direction, projet, qualite, etc…)"
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;MAINT;Agent de maintenance (composant nucleaire appareil emetteur de rayonnements ionisants etc)
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;MANIP;Manipulateur en electroradiologie medicale
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;PHYMED;Physicien medical
100000;Utilisations medicales et veterinaires;101000;Radiodiagnostic;RADIOLO;Radiologue
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;AS;Aide-soignant
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;ASSMED;Assistant medical
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;AUTMED;Autre medecin specialise
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;BRANCA;Brancardier
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;COMMER;Commercial
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;ETUSTAG;Etudiant stagiaire
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;FORM;Formateur
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;IDE;Infirmier
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;INGENIEUR;"Ingenieur (Direction, projet, qualite, etc…)"
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;MAINT;Agent de maintenance (composant nucleaire appareil emetteur de rayonnements ionisants etc)
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;MANIP;Manipulateur en electroradiologie medicale
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;PHYMED;Physicien medical
100000;Utilisations medicales et veterinaires;101010;Radiologie conventionnelle seule;RADIOLO;Radiologue
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;AS;Aide-soignant
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;ASSMED;Assistant medical
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;AUTMED;Autre medecin specialise
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;BRANCA;Brancardier
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;COMMER;Commercial
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;ETUSTAG;Etudiant stagiaire
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;FORM;Formateur
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;IDE;Infirmier
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;INGENIEUR;"Ingenieur (Direction, projet, qualite, etc…)"
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;MAINT;Agent de maintenance (composant nucleaire appareil emetteur de rayonnements ionisants etc)
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;MANIP;Manipulateur en electroradiologie medicale
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;PHYMED;Physicien medical
100000;Utilisations medicales et veterinaires;101020;Radiologie conventionnelle et scanner;RADIOLO;Radiologue
100000;Utilisations medicales et veterinaires;102000;Soins dentaires;ASSDENT;Assistant dentaire
100000;Utilisations medicales et veterinaires;102000;Soins dentaires;ASSMED;Assistant medical
